factor,dx_scalar,frobenius_error
1.00000e+05,9.88431e-03,4.64863e-02
6.73415e+04,6.65624e-03,3.13909e-02
4.53488e+04,4.48242e-03,2.11784e-02
3.05386e+04,3.01853e-03,1.42798e-02
2.05651e+04,2.03272e-03,9.62435e-03
1.38489e+04,1.36886e-03,6.48487e-03
9.32603e+03,9.21814e-04,4.36869e-03
6.28029e+03,6.20764e-04,2.94270e-03
4.22924e+03,4.18032e-04,1.98200e-03
2.84804e+03,2.81509e-04,1.33487e-03
1.91791e+03,1.89572e-04,8.98991e-04
1.29155e+03,1.27661e-04,6.05426e-04
8.69749e+02,8.59687e-05,4.07718e-04
5.85702e+02,5.78926e-05,2.74570e-04
3.94421e+02,3.89858e-05,1.84903e-04
2.65609e+02,2.62536e-05,1.24518e-04
1.78865e+02,1.76796e-05,8.38526e-05
1.20450e+02,1.19057e-05,5.64679e-05
8.11131e+01,8.01747e-06,3.80265e-05
5.46228e+01,5.39909e-06,2.56076e-05
3.67838e+01,3.63583e-06,1.72445e-05
2.47708e+01,2.44842e-06,1.16125e-05
1.66810e+01,1.64880e-06,7.82036e-06
1.12332e+01,1.11033e-06,5.26555e-06
7.56463e+00,7.47712e-07,3.54562e-06
5.09414e+00,5.03521e-07,2.38682e-06
3.43047e+00,3.39078e-07,1.60682e-06
2.31013e+00,2.28340e-07,1.08087e-06
1.55568e+00,1.53768e-07,7.23389e-07
1.04762e+00,1.03550e-07,4.85351e-07
7.05480e-01,6.97319e-08,3.28632e-07
4.75081e-01,4.69585e-08,2.15422e-07
3.19927e-01,3.16226e-08,1.48796e-07
2.15443e-01,2.12951e-08,9.54098e-08
1.45083e-01,1.43404e-08,5.16867e-08
9.77010e-02,9.65707e-09,1.10642e-07
6.57933e-02,6.50322e-09,2.03631e-07
4.43062e-02,4.37936e-09,4.41063e-07
2.98365e-02,2.94913e-09,5.76699e-07
2.00923e-02,1.98599e-09,6.18349e-07
1.35305e-02,1.33739e-09,8.84160e-07
9.11163e-03,9.00622e-10,1.19099e-06
6.13591e-03,6.06492e-10,2.14676e-06
4.13201e-03,4.08421e-10,1.40624e-06
2.78256e-03,2.75037e-10,2.63936e-06
1.87382e-03,1.85214e-10,5.73273e-06
1.26186e-03,1.24726e-10,7.39187e-06
8.49753e-04,8.39923e-11,8.74154e-06
5.72237e-04,5.65617e-11,2.32197e-05
3.85353e-04,3.80895e-11,2.19524e-05
2.59502e-04,2.56500e-11,5.52017e-05
1.74753e-04,1.72731e-11,5.78153e-05
1.17681e-04,1.16320e-11,5.23202e-05
7.92483e-05,7.83315e-12,2.04034e-04
5.33670e-05,5.27496e-12,3.41655e-04
3.59381e-05,3.55224e-12,4.72832e-04
2.42013e-05,2.39213e-12,5.63536e-04
1.62975e-05,1.61090e-12,4.96707e-04
1.09750e-05,1.08480e-12,1.23489e-03
7.39072e-06,7.30522e-13,1.53321e-03
4.97702e-06,4.91945e-13,2.68686e-03
3.35160e-06,3.31283e-13,2.26961e-03
2.25702e-06,2.23091e-13,6.51582e-03
1.51991e-06,1.50233e-13,7.59872e-03
1.02353e-06,1.01169e-13,1.19374e-02
6.89261e-07,6.81287e-14,2.08035e-02
4.64159e-07,4.58789e-14,2.08130e-02
3.12572e-07,3.08956e-14,2.72113e-02
2.10490e-07,2.08055e-14,8.01185e-02
1.41747e-07,1.40108e-14,4.35029e-02
9.54548e-08,9.43505e-15,1.04381e-01
6.42807e-08,6.35371e-15,1.90041e-01
4.32876e-08,4.27868e-15,1.85501e-01
2.91505e-08,2.88133e-15,5.24166e-01
1.96304e-08,1.94033e-15,5.86647e-01
1.32194e-08,1.30665e-15,7.74469e-01
8.90215e-09,8.79916e-16,7.99819e-01
5.99484e-09,5.92549e-16,1.48996e+00
4.03702e-09,3.99031e-16,2.78879e+00
2.71859e-09,2.68714e-16,5.13441e+00
1.83074e-09,1.80956e-16,8.14800e+00
1.23285e-09,1.21858e-16,1.34739e+01
8.30218e-10,8.20613e-17,7.09089e+00
5.59081e-10,5.52613e-17,1.19522e+01
3.76494e-10,3.72138e-17,5.78301e+00
2.53536e-10,2.50603e-17,5.77529e+00
1.70735e-10,1.68760e-17,5.80555e+00
1.14976e-10,1.13646e-17,5.86969e+00
7.74264e-11,7.65306e-18,5.86969e+00
5.21401e-11,5.15369e-18,5.86969e+00
3.51119e-11,3.47057e-18,5.86969e+00
2.36449e-11,2.33714e-18,5.86969e+00
1.59228e-11,1.57386e-18,5.86969e+00
1.07227e-11,1.05986e-18,5.86969e+00
7.22081e-12,7.13727e-19,5.86969e+00
4.86260e-12,4.80635e-19,5.86969e+00
3.27455e-12,3.23667e-19,5.86969e+00
2.20513e-12,2.17962e-19,5.86969e+00
1.48497e-12,1.46779e-19,5.86969e+00
1.00000e-12,9.88431e-20,5.86969e+00
